UBIGEO,lon,lat,altitud,densidad,area_km2,person_years,deaths,estrato,n_cells,crude_rate,res_m1,res_m2a,res_m2b,dev_m1,dev_m2b,expected_m1,SMR_m1
160801,-72.784012820803,-2.46892340718953,143.363681665196,18.38,11079,35119.5524620341,0,lowland (<500 m),,0,-0.00607198370659795,-0.0333103491283732,-0.0335556233229455,-0.00858708170837927,-0.0474548175971925,3.68689861331909e-05,0
160802,-73.8661344625098,-1.55813076996333,172.911401991846,18.14,7167.8,4869.01463414634,0,lowland (<500 m),,0,-0.00293039896957711,-0.0149005563693611,-0.0150297513066295,-0.00414420996594009,-0.0212552781369301,8.58723812089857e-06,0
160803,-74.731671719717,-0.655310241037204,199.256926288863,18.06,9615.4,20399.7929889299,0,lowland (<500 m),,0,-0.00729911057299463,-0.0351301793480114,-0.0354794466175254,-0.0103225011655899,-0.0501755145919966,5.3277015156802e-05,0
160804,-71.0132471402062,-2.80437046773862,121.988668398373,22.19,18035.6,12497.8487229863,0,lowland (<500 m),,0,-0.00289678392840343,-0.0183831287820387,-0.0186635894534989,-0.00409667111881254,-0.0263943013277016,8.3913571278564e-06,0
170101,-70.2884872894865,-12.0488012968345,346.463408688512,18.85,20838.6,811979.307776039,0,lowland (<500 m),,0,-0.0990303724300028,-0.395281380776832,-0.402393941391217,-0.140050095777369,-0.569070969332224,0.00980701466362505,0
170102,-69.9388848235763,-12.9767341500386,277.345232460771,39.92,4881.6,123787.928818723,0,lowland (<500 m),,0,-0.0284166801302768,-0.173169052230187,-0.182653022071616,-0.0401872544378555,-0.258310381022112,0.000807507709626468,0
170103,-69.5403415965484,-12.0038918239855,299.190426055411,16.74,7803.9,154341.654466025,0,lowland (<500 m),,0,-0.0352413364502,-0.140803583492532,-0.142263900187665,-0.0498387759640261,-0.201191537081488,0.00124195179479619,0
170104,-69.9238699929507,-12.513299473239,275.034625169326,24.31,2695.7,52369.571585213,2,lowland (<500 m),,38.1901157382146,109.4492929593,22.3313874649572,21.7045646712595,5.5491535493225,4.230624178745,0.000333802119592216,5991.57369774425
170201,-71.5183367121531,-12.3618897009468,858.552749702281,22.81,8718.1,18820.201414898,0,500-1500,,0,-0.0529448139438679,-0.164188824736742,-0.170365664448716,-0.0748752739367382,-0.240933433226078,0.00280315332355079,0
170202,-71.6352484820702,-11.8504942823895,482.561494257653,17.98,10684.4,12368.3769633508,0,lowland (<500 m),,0,-0.0193342831602688,-0.066748401275576,-0.068023059767122,-0.0273428054640138,-0.0961991336767795,0.000373814505321453,0
170203,-70.6750771706996,-12.6294376352239,414.52907644819,32.01,7882.6,52905.2583210604,1,lowland (<500 m),,18.9017128303468,30.8300882209185,6.34993374511668,6.04779615439655,3.42348738520951,2.31425748693216,0.00104987616256578,952.493289833456
170204,-70.6521019523802,-13.0031862467863,480.967470717848,57.54,1530.4,84936.6746987952,4,lowland (<500 m),,47.0939086582435,79.2598748127826,13.2487126215425,12.2149052084062,7.13362618153257,4.64418990230353,0.0025436695553086,1572.53130291711
170301,-70.6502539173664,-10.9653813434466,370.403884920814,14.67,13885.3,25467.8082508251,0,lowland (<500 m),,0,-0.0192379074574022,-0.0668528364981585,-0.067248330988527,-0.0272065096379366,-0.0951035017309298,0.00037009708333957,0
